SampleID	CDKN2A_Copy
66f2af6d-7146-423a-b161-0b7c109d9793	0
6756d60d-5f5b-40ce-a384-95e0144da4b1	0
683b4f27-32fa-4267-b165-51737e54708d	0
685bcff3-c1d5-4500-b3f1-41bd8a981edd	0
6883989d-995e-49d2-a21b-6d8366d7c08f	0
6920d78d-054e-4e8d-b09e-2f3472f9a61c	0
69593e73-073b-4be8-9d98-0ad159a3ac6d	0
6ad0d6b9-bbc0-4603-8f84-d4410c82bd0c	0
6c7c79e8-75a4-40b0-a1ac-eaa96060f857	0
6d150520-55e7-42bd-bc88-6cb37ddf2fdf	0
6dea9668-951b-49f9-9499-a6b7cd3fed1d	0
6f45ea87-977c-4838-8796-16f67a3afc9a	0
6fa60fa9-77eb-4a41-80ba-4d541a4f065c	0
6ffc8461-ca67-4dd6-9b8c-c75847e4b13e	0
7062a28f-849a-47fe-9e96-fa6f3144c257	0
711cd9ea-76f7-465f-b038-18bc98d693a7	0
7282c556-938d-40cc-a24a-8f198f19a33b	0
72a298a3-e70d-4fae-86e5-53f21bf1c0cb	0
72bb04a4-c363-4e8c-a5a1-fe8458243eaa	0
73011acd-d5fd-4574-a4ab-edd5de91e3b9	0
74881bb3-0631-4036-848b-7715d4b71488	0
75124d23-ba3b-42d5-8a82-8f31238b52c1	0
76c90bfb-50ba-4a4b-ba7e-a754e9b6ba42	0
78757c1e-e10a-4503-9e9c-e2694e47626f	0
78d5bf3e-cd6b-4334-9e6f-becca144dcdf	0
79474d7f-6475-4440-b7e1-7059ba751422	0
7a22739c-4b7c-4202-bc46-4b527f1fb00c	0
7a690f14-851f-4647-9a3b-e832fc1d38f4	0
7ab7342b-d560-4569-ab21-d9e136fe3c00	0
7ac9b668-a99d-4b5c-8eb1-c1d5e4cf13c8	0
7bc7d5b8-5532-4ad8-adb6-a6637f6d8692	0
7c975b89-e987-405b-8d7c-c1ee9d3a427d	0
7cb22f73-015e-48f8-9d61-5f9256d494b1	0
7d029eb0-4a5c-4591-a823-99eff79135ca	0
7d14a666-2b84-4630-83cf-e856fb4642b0	0
7eef5b59-8f66-4f45-a41b-bb28acdc248d	0
7f0f25b8-8157-4e24-bbc7-23c6dfa6079d	0
